provincia,macro_sector,anio,vab,participacion_pct
Buenos Aires,Minería y energía,2006,3745.8101794822405,2.4214869465920112
Buenos Aires,Hotelería y gastronomía,2006,2075.484103107756,1.3417011067627929
Buenos Aires,Industria manufacturera,2007,54907.22108262491,33.11675099912469
Buenos Aires,Comercio,2007,25489.166951516105,15.373540646652643
Buenos Aires,"Administración pública, salud y educación",2007,16747.82674067593,10.10128717155124
Buenos Aires,Servicios financieros e inmobiliarios,2007,15460.707922133148,9.32497410052865
Buenos Aires,"Agro, pesca y silvicultura",2007,14368.26355869875,8.666077014664245
Buenos Aires,Transporte y comunicaciones,2007,13813.354042852374,8.33138879149455
Buenos Aires,Resto / no clasificado,2007,6865.286005499604,4.1407298111076924
Buenos Aires,Otros servicios,2007,6102.488795587936,3.6806561675070046
Buenos Aires,Construcción,2007,5857.010262632759,3.532598201883981
Buenos Aires,Minería y energía,2007,3782.8873103870887,2.2816113189796985
Buenos Aires,Hotelería y gastronomía,2007,2404.724197968364,1.45038577650561
Buenos Aires,Industria manufacturera,2008,57029.61637299407,32.830789228123535
Buenos Aires,Comercio,2008,26995.64525147609,15.54084343706195
Buenos Aires,"Administración pública, salud y educación",2008,17852.18425728988,10.277139070678597
Buenos Aires,Servicios financieros e inmobiliarios,2008,15983.255090888275,9.20123459425502
Buenos Aires,"Agro, pesca y silvicultura",2008,14904.185322690922,8.580036094682026
Buenos Aires,Transporte y comunicaciones,2008,14754.223768956315,8.493706280874717
Buenos Aires,Resto / no clasificado,2008,7321.984662499208,4.215117520935981
Buenos Aires,Otros servicios,2008,6344.093956020201,3.6521657475525613
Buenos Aires,Construcción,2008,6239.001081363516,3.591665918925535
Buenos Aires,Minería y energía,2008,3889.539721977608,2.239128840907491
Buenos Aires,Hotelería y gastronomía,2008,2393.9933977680826,1.3781732660025763
Buenos Aires,Industria manufacturera,2009,53104.95547822675,32.63227056490547
Buenos Aires,Comercio,2009,24737.254314462756,15.200705255338978
Buenos Aires,"Administración pública, salud y educación",2009,18805.35145671899,11.555631885528967
Buenos Aires,Servicios financieros e inmobiliarios,2009,16193.431811091406,9.95064290093492
Buenos Aires,Transporte y comunicaciones,2009,14709.405719087961,9.038729115798784
Buenos Aires,"Agro, pesca y silvicultura",2009,10389.081201074268,6.383948647000145
Buenos Aires,Resto / no clasificado,2009,6711.898763632951,4.124370211531877
Buenos Aires,Otros servicios,2009,6398.23151708612,3.9316259682783112
Buenos Aires,Construcción,2009,5604.931086308996,3.444153677542863
Buenos Aires,Minería y energía,2009,3739.303643719324,2.2977510691297987
Buenos Aires,Hotelería y gastronomía,2009,2343.698424704232,1.4401707040098815
Buenos Aires,Industria manufacturera,2010,59203.489768099746,32.48132174180948
Buenos Aires,Comercio,2010,28354.5459078562,15.556399328544948
Buenos Aires,"Administración pública, salud y educación",2010,19084.337976808314,10.470405114330825
Buenos Aires,Servicios financieros e inmobiliarios,2010,16653.150420594196,9.136561695008874
Buenos Aires,Transporte y comunicaciones,2010,16486.4443889147,9.045100325544135
Buenos Aires,"Agro, pesca y silvicultura",2010,15932.484506531584,8.7411765325005
Buenos Aires,Resto / no clasificado,2010,7182.494045637684,3.9405937203839354
Buenos Aires,Otros servicios,2010,6741.725756203082,3.6987712082517783
Buenos Aires,Construcción,2010,6192.195496591785,3.397277677393867
Buenos Aires,Minería y energía,2010,3840.8773622721264,2.1072537085814727
Buenos Aires,Hotelería y gastronomía,2010,2597.5913103537423,1.4251389476501886
Buenos Aires,Industria manufacturera,2011,63157.45739889855,32.616198351379666
Buenos Aires,Comercio,2011,31335.85911675756,16.182674834545793
Buenos Aires,"Administración pública, salud y educación",2011,19518.55342719026,10.079902458586648
Buenos Aires,Transporte y comunicaciones,2011,17984.085561511707,9.287462257033146
Buenos Aires,Servicios financieros e inmobiliarios,2011,17334.668027818745,8.952085692425547
Buenos Aires,"Agro, pesca y silvicultura",2011,16299.679686930633,8.417590061853174
Buenos Aires,Resto / no clasificado,2011,7642.9719255902755,3.9470348963640536
Buenos Aires,Otros servicios,2011,7016.930775084172,3.6237305205709087
Buenos Aires,Construcción,2011,6656.301274445328,3.4374918116579587
Buenos Aires,Minería y energía,2011,3928.215712456912,2.028635542360122
Buenos Aires,Hotelería y gastronomía,2011,2763.5936086033525,1.4271935732229784
Buenos Aires,Industria manufacturera,2012,61753.435731158264,32.05315398282829
Buenos Aires,Comercio,2012,30812.64157199158,15.993318156813393
Buenos Aires,"Administración pública, salud y educación",2012,20237.095204387748,10.504075134788131
Buenos Aires,Transporte y comunicaciones,2012,18583.28994672434,9.645666627571265
Buenos Aires,Servicios financieros e inmobiliarios,2012,18128.888356114545,9.409809237914985
Buenos Aires,"Agro, pesca y silvicultura",2012,15009.876213713045,7.790884310240661
Buenos Aires,Resto / no clasificado,2012,7349.362227231678,3.814690411244272
Buenos Aires,Otros servicios,2012,7267.982579532496,3.772450261398584
Buenos Aires,Construcción,2012,6604.717811683217,3.428182327419795
Buenos Aires,Minería y energía,2012,4062.4227188668497,2.1086026940761564
Buenos Aires,Hotelería y gastronomía,2012,2849.7549853702485,1.4791668557044655
Buenos Aires,Industria manufacturera,2013,62953.47624926069,32.06937027884961
Buenos Aires,Comercio,2013,31640.77403506118,16.118247297768626
Buenos Aires,"Administración pública, salud y educación",2013,20297.89620662215,10.340028670608435
Buenos Aires,Transporte y comunicaciones,2013,19046.351463518437,9.702474492849872
Buenos Aires,Servicios financieros e inmobiliarios,2013,18543.07606959274,9.446099056231681
Buenos Aires,"Agro, pesca y silvicultura",2013,16022.899424928844,8.162286266198748
Buenos Aires,Resto / no clasificado,2013,7279.408495764647,3.7082312267771185
Buenos Aires,Otros servicios,2013,7112.800529001914,3.6233588274140556
Buenos Aires,Construcción,2013,6511.678782886171,3.317139107592296
Buenos Aires,Minería y energía,2013,4095.514843499412,2.086311826191646
Buenos Aires,Hotelería y gastronomía,2013,2800.18507059331,1.4264529495179084
Buenos Aires,Industria manufacturera,2014,59898.35745647737,31.622889165830742
Buenos Aires,Comercio,2014,29072.18452456067,15.348442061984192
Buenos Aires,"Administración pública, salud y educación",2014,20563.07653217409,10.856122232699342
Buenos Aires,Transporte y comunicaciones,2014,19023.62561573844,10.043380652230232
Buenos Aires,Servicios financieros e inmobiliarios,2014,18656.671939346244,9.84965020735157
Buenos Aires,"Agro, pesca y silvicultura",2014,14763.952128685729,7.794517940734811
Buenos Aires,Resto / no clasificado,2014,7025.682605806584,3.7091565076581396
Buenos Aires,Otros servicios,2014,6915.024100050912,3.650735178403649
Buenos Aires,Construcción,2014,6598.109254392702,3.483422359407939
Buenos Aires,Minería y energía,2014,4147.305415922288,2.1895388300063914
Buenos Aires,Hotelería y gastronomía,2014,2750.57385389238,1.4521448636929954
