provincia,anio,hhi
Buenos Aires,2004,0.05624110481941157
Buenos Aires,2005,0.056879805999780216
Buenos Aires,2006,0.05632030361638391
Buenos Aires,2007,0.056302360852686105
Buenos Aires,2008,0.05688195385495556
Buenos Aires,2009,0.05546681280550122
Buenos Aires,2010,0.057202189999311724
Buenos Aires,2011,0.05819579393516537
Buenos Aires,2012,0.05752458830785538
Buenos Aires,2013,0.05820769523608993
Buenos Aires,2014,0.05672864366072237
Buenos Aires,2015,0.057443604664319366
Buenos Aires,2016,0.05785926979580436
Buenos Aires,2017,0.05787078134788601
Buenos Aires,2018,0.05698806049957418
Buenos Aires,2019,0.057455923778238535
Buenos Aires,2020,0.061467720372717485
Buenos Aires,2021,0.059739220201139094
Buenos Aires,2022,0.05965871749589997
Buenos Aires,2023,0.05942045943842413
Buenos Aires,2024,0.06049288957027513
Catamarca,2004,0.21079446099802626
Catamarca,2005,0.21789108712683633
Catamarca,2006,0.20663354239558554
Catamarca,2007,0.18778141527548853
Catamarca,2008,0.15641741735475428
Catamarca,2009,0.14769329918055812
Catamarca,2010,0.13242583515587242
Catamarca,2011,0.11186455431238071
Catamarca,2012,0.1189283374079609
Catamarca,2013,0.10016171350997707
Catamarca,2014,0.10874964843115902
Catamarca,2015,0.08022298260804717
Catamarca,2016,0.08810882766730645
Catamarca,2017,0.07813445456624626
Catamarca,2018,0.07498553621324773
Catamarca,2019,0.07106074470506789
Catamarca,2020,0.07472733236010651
Catamarca,2021,0.07332147757267103
Catamarca,2022,0.0731921864787715
Catamarca,2023,0.07407375460174646
Catamarca,2024,0.07229189140684089
Chaco,2004,0.09154209031257404
Chaco,2005,0.09420732781069273
Chaco,2006,0.09957108354063936
Chaco,2007,0.09684241675481595
Chaco,2008,0.09427934678147948
Chaco,2009,0.08405602255733872
Chaco,2010,0.09764311759786556
Chaco,2011,0.09986209468254068
Chaco,2012,0.08386813950473226
Chaco,2013,0.08406060827685254
Chaco,2014,0.09018065623557135
Chaco,2015,0.08527273020210531
Chaco,2016,0.08319619601710491
Chaco,2017,0.08182113016613843
Chaco,2018,0.08335916996895744
Chaco,2019,0.08148957768322243
Chaco,2020,0.08825062108249823
Chaco,2021,0.08489979620496307
Chaco,2022,0.08679056553539581
Chaco,2023,0.08504734984561166
Chaco,2024,0.08326600882322793
Chubut,2004,0.147793663413919
Chubut,2005,0.14485532914446628
Chubut,2006,0.14379581227759627
Chubut,2007,0.13737472149393334
Chubut,2008,0.13074068364129482
Chubut,2009,0.1513597449355077
Chubut,2010,0.14036800615332454
Chubut,2011,0.13398433773144244
Chubut,2012,0.12726344430997585
Chubut,2013,0.12233720742250659
Chubut,2014,0.12388969162127973
Chubut,2015,0.12695295671033607
Chubut,2016,0.12009228765942999
Chubut,2017,0.10700576853063948
Chubut,2018,0.11442820181189427
Chubut,2019,0.11255520936911968
Chubut,2020,0.11435681835669474
Chubut,2021,0.1097981515705288
Chubut,2022,0.10680007829996147
Chubut,2023,0.10803594258683227
Chubut,2024,0.10199445956345385
Ciudad Autónoma de Buenos Aires,2004,0.06855852625404327
Ciudad Autónoma de Buenos Aires,2005,0.0685749382080214
Ciudad Autónoma de Buenos Aires,2006,0.06818528817256692
Ciudad Autónoma de Buenos Aires,2007,0.07035837827921117
Ciudad Autónoma de Buenos Aires,2008,0.07230713835333911
Ciudad Autónoma de Buenos Aires,2009,0.0700606666711971
Ciudad Autónoma de Buenos Aires,2010,0.07095774994264467
Ciudad Autónoma de Buenos Aires,2011,0.07256248398978868
Ciudad Autónoma de Buenos Aires,2012,0.07165444524767382
Ciudad Autónoma de Buenos Aires,2013,0.07127761590297498
Ciudad Autónoma de Buenos Aires,2014,0.06997346658657787
Ciudad Autónoma de Buenos Aires,2015,0.07054346854029205
Ciudad Autónoma de Buenos Aires,2016,0.07067224390563037
Ciudad Autónoma de Buenos Aires,2017,0.07175735215704541
Ciudad Autónoma de Buenos Aires,2018,0.07227684546883524
Ciudad Autónoma de Buenos Aires,2019,0.07180764992493202
Ciudad Autónoma de Buenos Aires,2020,0.07508449430278666
Ciudad Autónoma de Buenos Aires,2021,0.07606208626780117
Ciudad Autónoma de Buenos Aires,2022,0.07662343643429777
Ciudad Autónoma de Buenos Aires,2023,0.07692074697966772
Ciudad Autónoma de Buenos Aires,2024,0.07636435818358651
Corrientes,2004,0.09451207614496462
Corrientes,2005,0.09232564696750113
Corrientes,2006,0.09432286914147456
Corrientes,2007,0.09778229297878482
Corrientes,2008,0.09982492918128365
Corrientes,2009,0.10118715797249589
Corrientes,2010,0.10253345932442305
Corrientes,2011,0.10378967157608579
Corrientes,2012,0.10107032340822004
Corrientes,2013,0.10158190266597873
Corrientes,2014,0.09861749750357968
Corrientes,2015,0.09952778642283568
Corrientes,2016,0.0949335534406435
Corrientes,2017,0.0956347147674824
Corrientes,2018,0.09529594287981483
Corrientes,2019,0.09244966631640458
Corrientes,2020,0.09872189006453964
Corrientes,2021,0.10021282448122998
Corrientes,2022,0.10176295066068718
Corrientes,2023,0.10312689577512907
Corrientes,2024,0.096059417907703
Córdoba,2004,0.09712840812198688
Córdoba,2005,0.10994342878034907
Córdoba,2006,0.09971287966847946
Córdoba,2007,0.1112939879508001
Córdoba,2008,0.10101225510557794
Córdoba,2009,0.09060808317802199
Córdoba,2010,0.09697568542529277
Córdoba,2011,0.09317358376189147
Córdoba,2012,0.087640117823676
Córdoba,2013,0.09612151916490339
Córdoba,2014,0.09955151167022339
Córdoba,2015,0.1049346370462698
Córdoba,2016,0.10489736772140885
Córdoba,2017,0.10205487367177812
Córdoba,2018,0.08804716673906664
Córdoba,2019,0.10308267210059863
Córdoba,2020,0.10734943710332903
Córdoba,2021,0.10459823457901453
Córdoba,2022,0.09856896954171776
Córdoba,2023,0.08680027791540236
Córdoba,2024,0.09928750301656007
Entre Ríos,2004,0.10760281671783554
Entre Ríos,2005,0.11429317253137966
Entre Ríos,2006,0.10923878885207106
Entre Ríos,2007,0.11452165890922136
Entre Ríos,2008,0.10954813717943797
Entre Ríos,2009,0.10008013983632189
Entre Ríos,2010,0.11396138506372268
Entre Ríos,2011,0.10920652939744983
Entre Ríos,2012,0.10635277525883045
Entre Ríos,2013,0.10882803575052824
Entre Ríos,2014,0.10647040893323784
Entre Ríos,2015,0.10937884148700275
Entre Ríos,2016,0.10384013068910586
Entre Ríos,2017,0.10843911948782207
Entre Ríos,2018,0.10213344959369731
Entre Ríos,2019,0.1081997609403149
Entre Ríos,2020,0.11551122968589846
Entre Ríos,2021,0.10984057912410555
Entre Ríos,2022,0.10954010682013594
Entre Ríos,2023,0.1047926818039126
Entre Ríos,2024,0.11155901619392983
Formosa,2004,0.08482054607853208
Formosa,2005,0.08337897829297145
Formosa,2006,0.08439821904013627
Formosa,2007,0.08722153109653005
Formosa,2008,0.08692502987551742
Formosa,2009,0.08355998960364308
Formosa,2010,0.0850416978576434
Formosa,2011,0.08900166996297727
Formosa,2012,0.08462995417014052
Formosa,2013,0.08499860888447697
Formosa,2014,0.08241895856313562
Formosa,2015,0.08291670858162081
Formosa,2016,0.08255917244972491
Formosa,2017,0.08336835033818943
Formosa,2018,0.08300847007547787
Formosa,2019,0.08172916805904532
Formosa,2020,0.08654601142175124
Formosa,2021,0.08468396396124564
Formosa,2022,0.08589337799619466
Formosa,2023,0.08511502356171137
Formosa,2024,0.08498068581089911
Jujuy,2004,0.06724976558847222
Jujuy,2005,0.06703547699637327
Jujuy,2006,0.0665217921819872
Jujuy,2007,0.06710841765727019
Jujuy,2008,0.06602807391401047
Jujuy,2009,0.06532703302840641
Jujuy,2010,0.06537039712869856
Jujuy,2011,0.06608477146317643
Jujuy,2012,0.06525936354096437
Jujuy,2013,0.06695701250137796
Jujuy,2014,0.06773540499946773
Jujuy,2015,0.06876320826947625
Jujuy,2016,0.06994459115741483
Jujuy,2017,0.07022255674492896
Jujuy,2018,0.06944700467734774
Jujuy,2019,0.07015042021361186
Jujuy,2020,0.07535827991266635
Jujuy,2021,0.06757112421946138
Jujuy,2022,0.06891722132818835
Jujuy,2023,0.07091714291956461
Jujuy,2024,0.06840748605032618
La Pampa,2004,0.11758823835859707
La Pampa,2005,0.12939581782502085
La Pampa,2006,0.11243892242044279
La Pampa,2007,0.11298450350357367
La Pampa,2008,0.11774499880766646
La Pampa,2009,0.11023388671804113
La Pampa,2010,0.11092294780703264
La Pampa,2011,0.11105713305619382
La Pampa,2012,0.11299818906712188
La Pampa,2013,0.1097649125341465
La Pampa,2014,0.1068643799129494
La Pampa,2015,0.1123804902670879
La Pampa,2016,0.11637178421017959
La Pampa,2017,0.11093343095463858
La Pampa,2018,0.10989668848498275
La Pampa,2019,0.11407910780595248
La Pampa,2020,0.11975943625623153
La Pampa,2021,0.12108287731742626
La Pampa,2022,0.12713744558328474
La Pampa,2023,0.12512057695613843
La Pampa,2024,0.13036232716318344
La Rioja,2004,0.0706863612149689
La Rioja,2005,0.06930812890312192
La Rioja,2006,0.06906335148955549
La Rioja,2007,0.07022688144186007
La Rioja,2008,0.06918652874005408
La Rioja,2009,0.06856900688501219
La Rioja,2010,0.06877485319144823
La Rioja,2011,0.07062466643829611
La Rioja,2012,0.06945867201823615
La Rioja,2013,0.07069126759982233
La Rioja,2014,0.0681303095900224
La Rioja,2015,0.07100228960893354
La Rioja,2016,0.07223393020690723
La Rioja,2017,0.07159852832810329
La Rioja,2018,0.07084752594754604
La Rioja,2019,0.07270731253398316
La Rioja,2020,0.0737074498097328
La Rioja,2021,0.0693264255683201
La Rioja,2022,0.06882070772511857
La Rioja,2023,0.06806213919137347
La Rioja,2024,0.07132154421061125
Mendoza,2004,0.079671375568178035
Mendoza,2005,0.07688228422331454
Mendoza,2006,0.07604226803390697
Mendoza,2007,0.07648721244110683
Mendoza,2008,0.07799224318636613
